eventID,measurementValue,measurementType,measurementTypeID,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID
IYS2022-TINRO-3-5-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-5-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-6-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-6-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-7-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-7-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-8-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-8-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-9-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-9-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-10-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-10-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-11-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-11-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-12-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-12-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-13-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-13-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-14-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-14-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-15-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-15-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-16-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-16-Trawl-Mesh_Size,NA
